company_name,source
ARROWHEAD PHARMACEUTICALS IN,ssga_xbi_holdings
ARROWHEAD PHARMACEUTICALS INC,ishares_ibb_holdings
ARS PHARMACEUTICALS INC,ishares_ibb_holdings
ARS PHARMACEUTICALS INC,ssga_xbi_holdings
ARVINAS INC,ishares_ibb_holdings
ASCENDIS PHARMA ADR REPRESENTING,ishares_ibb_holdings
ATAIBECKLEY INC,ishares_ibb_holdings
ATEA PHARMACEUTICALS INC,ishares_ibb_holdings
AURA BIOSCIENCES INC,ishares_ibb_holdings
AURINIA PHARMACEUTICALS INC,ishares_ibb_holdings
AUTOLUS THERAPEUTICS ADR PLC,ishares_ibb_holdings
AVIDITY BIOSCIENCES INC,ishares_ibb_holdings
AVIDITY BIOSCIENCES INC,ssga_xbi_holdings
AXSOME THERAPEUTICS INC,ishares_ibb_holdings
AbbVie,wikidata_industry
Acceleron Pharma,wikidata_industry
Algenetix,wikidata_industry
Alnylam Pharmaceuticals,wikidata_industry
Alzheon,wikidata_industry
Amgen,wikidata_industry
Amylin Pharmaceuticals,wikidata_industry
Arbutus Biopharma,wikidata_industry
ArcticZymes Technologies,wikidata_industry
Arena Pharmaceuticals,wikidata_industry
AstraZeneca,wikidata_industry
BEAM THERAPEUTICS INC,ishares_ibb_holdings
BEAM THERAPEUTICS INC,ssga_xbi_holdings
BEONE MEDICINES AG,ishares_ibb_holdings
BICARA THERAPEUTICS INC,ishares_ibb_holdings
BICARA THERAPEUTICS INC,ssga_xbi_holdings
BICYCLE THERAPEUTICS ADR PLC,ishares_ibb_holdings
BIO TECHNE CORP,ishares_ibb_holdings
BIOAGE LABS INC,ishares_ibb_holdings
BIOCRYST PHARMACEUTICALS INC,ishares_ibb_holdings
BIOCRYST PHARMACEUTICALS INC,ssga_xbi_holdings
BIOGEN INC,ishares_ibb_holdings
BIOGEN INC,ssga_xbi_holdings
BIOHAVEN LTD,ishares_ibb_holdings
BIOHAVEN LTD,ssga_xbi_holdings
BIOMARIN PHARMACEUTICAL INC,ishares_ibb_holdings
BIOMARIN PHARMACEUTICAL INC,ssga_xbi_holdings
BIONTECH SE ADR,ishares_ibb_holdings
BLACK DIAMOND THERAPEUTICS INC,ishares_ibb_holdings
BLK CSH FND TREASURY SL AGENCY,ishares_ibb_holdings
BRIDGEBIO ONCOLOGY THERAPEUTICS IN,ishares_ibb_holdings
BRIDGEBIO PHARMA INC,ishares_ibb_holdings
BRIDGEBIO PHARMA INC,ssga_xbi_holdings
BRUKER CORP,ishares_ibb_holdings
Baxalta,wikidata_industry
"Before investing in a fund, consider its investment objectives, risks, charges, and expenses. A prospectus (and/or summary prospectus) containing this and other information is available here (https://www.ssga.com/us/en/individual/fund-finder) or by calling 1-866-787-2257. Read it carefully.

Not FDIC Insured * No Bank Guarantee * May Lose Value

© 2025 State Street Corporation - All Rights Reserved.
State Street Global Advisors Funds Distributors, LLC, One Iron Street, Boston, MA 02210

4503082.7.9.AM.RTL
Expiration: 01/31/2026
SPD004341",ssga_xbi_holdings
Benitec Biopharma Ltd,wikidata_industry
BioLegend,wikidata_industry
Biogen,wikidata_industry
BiondVax,wikidata_industry
Biosplice Therapeutics,wikidata_industry
Biotelliga,wikidata_industry
"Bonds generally present less short-term risk and volatility than stocks, but contain interest rate risk (as interest rates raise, bond prices usually fall); issuer default risk; issuer credit risk; liquidity risk; and inflation risk. These effects are usually pronounced for longer-term securities. Any fixed income security sold or redeemed prior to maturity may be subject to a substantial gain or loss.

International Government bonds and corporate bonds generally have more moderate short-term price fluctuations than stocks, but provide lower potential long-term returns.
Investing in high yield fixed income securities, otherwise known as ""junk bonds"", is considered speculative and involves greater risk of loss of principal and interest than investing in investment grade fixed income securities. These Lower-quality debt securities involve greater risk of default or price changes due to potential changes in the credit quality of the issuer.

Equity securities may fluctuate in value and can decline significantly in response to the activities of individual companies and general market and economic conditions.

There are risks associated with investing in Real Assets and the Real Assets sector, including real estate, precious metals and natural resources.  Investments can be significantly affected by events relating to these industries.

Investing in foreign domiciled securities may involve risk of capital loss from unfavorable fluctuation in currency values, withholding taxes, from differences in generally accepted accounting principles or from economic or political instability in other nations.  Investments in emerging or developing markets may be more volatile and less liquid than investing in developed markets and may involve exposure to economic structures that are generally less diverse and mature and to political systems which have less stability than those of more developed countries. 

The trademarks and service marks referenced herein are the property of their respective owners. Third party data providers make no warranties or representations of any kind relating to the accuracy, completeness or timeliness of the data and have no liability for damages of any kind relating to the use of such data. Investing involves risk including the risk of loss of principal.

The whole or any part of this work may not be reproduced, copied or transmitted or any of its contents disclosed to third parties without SSGA's express written consent.

ETFs trade like stocks, are subject to investment risk and will fluctuate in market value. The investment return and principal value of an investment will fluctuate in value, so that when shares are sold or redeemed, they may be worth more or less than when they were purchased.  Although shares may be bought or sold on an exchange through any brokerage account, shares are not individually redeemable from the fund.  Investors may acquire shares and tender them for redemption through the fund in large aggregations known as “creation units.”  Please see the fund’s prospectus for more details.

Investing in REITs involves certain distinct risks in addition to those risks associated with investing in the real estate industry in general. Equity REITs may be affected by changes in the value of the underlying property owned by the REITs, while mortgage REITs may be affected by the quality of credit extended. REITs are subject to heavy cash flow dependency, default by borrowers and self-liquidation. REITs, especially mortgage REITs, are also subject to interest rate risk (i.e., as interest rates rise, the value of the REIT may decline).

Multi-Cap investments include exposure to all market caps, including small and medium capitalization (“cap”) stocks that generally have a higher risk of business failure, lesser liquidity and greater volatility in market price. As a consequence, small and medium cap stocks have a greater possibility of price decline or loss as compared to large cap stocks. This may cause the Fund not to meet its investment objective. 

Concentrated investments in a particular Sector tend to be more volatile than the overall market and increases risk that events negatively affecting such sectors or industries could reduce returns, potentially causing the value of the Fund’s shares to decrease.

Technology companies, including cyber security companies, can be significantly affected by obsolescence of existing technology, limited product lines, and competition for financial resources, qualified personnel, new market entrants or impairment of patent and intellectual property rights that can adversely affect profit margins.

This communication is not intended to be an investment recommendation or investment advice and should not be relied upon as such.

The information provided does not constitute investment advice and it should not be relied on as such. It should not be considered a solicitation to buy or an offer to sell a security. It does not take into account any investor's particular investment objectives, strategies, tax status or investment horizon.  You should consult your tax and financial advisor.

Disclosure: State Street Global Advisors Funds Distributors, LLC is the distributor for some registered products on behalf of the adviser. SSGA Funds Management has retained Blackstone Liquid Credit Strategies LLC, Nuveen Asset Management, DoubleLine Capital LP Loomis Sayles,  Galaxy Digital Capital Management LP, and Bridgewater Associates, LP as the sub-adviser. State Street Global Advisors Funds Distributors, LLC is not affiliated with Blackstone Liquid Credit Strategies LLC, DoubleLine Capital LP, Nuveen Asset Management Loomis Sayles, Galaxy Digital Capital Management LP or Bridgewater Associates, LP. 

Kensho is not an investment adviser or broker-dealer and Kensho makes no representation regarding the advisability of investing in any investment fund, other investment vehicle, security or other financial product regardless of whether or not it is based on, derived from, or included as a constituent of any Kensho New Economies© family index. Kensho bears no responsibility or liability for any business decision, input, recommendation, or action taken based on Kensho indices or any products based on, derived from, or included as a constituent of any such index. All referenced names and trademarks are the property of their respective owners.

Apollo is not a sponsor, distributor, promoter, or investment adviser to the Fund. Apollo has entered into a contractual agreement with the Fund whereby it is obligated to provide firm bids on asset-backed and corporate finance instruments sourced by Apollo (each an “AOS Investment”) to the Fund on a daily basis at certain intervals and is required to repurchase AOS Investments that the Fund has purchased at the firm bid price offered by Apollo, subject to, but not limited to, contractual levels designed to cover the estimated seven-day stress redemption rate as of the date hereof. The sale of AOS Investments to Apollo is not exclusive and the Fund may seek to sell AOS Investments to other counterparties.

The S&P 500® Index is a product of S&P Dow Jones Indices LLC or its affiliates (“S&P DJI”) and have been licensed for use by State Street Global Advisors.  S&P®, SPDR®, S&P 500®,US 500 and the 500 are trademarks of Standard & Poor’s Financial Services LLC (“S&P”); Dow Jones® is a registered trademark of Dow Jones Trademark Holdings LLC (“Dow Jones”) and has been licensed for use by S&P Dow Jones Indices; and these trademarks have been licensed for use by S&P DJI and sublicensed for certain purposes by State Street Global Advisors. The fund is not sponsored, endorsed, sold or promoted by S&P DJI, Dow Jones, S&P, their respective affiliates, and none of such parties make any representation regarding the advisability of investing in such product(s) nor do they have any liability for any errors, omissions, or interruptions of these indices.

The returns on a portfolio of securities which exclude companies that do not meet the portfolio's specified ESG criteria may trail the returns on a portfolio of securities which include such companies. A portfolio's ESG criteria may result in the portfolio investing in industry sectors or securities which underperform the market as a whole. 

If your account holds Russian securities and instruments, then as of the date of this publication, they have been fair valued.  Such fair value may be zero.  If your portfolio holds such Russian securities and instruments, then the portfolio may not be able to dispose of such securities and instruments depending on the relevant market, applicable sanctions requirements, and/or Russian capital controls or other counter measures. In such circumstances, the portfolio would continue to own and have exposure to Russian-related issuers and markets.  Please refer to your portfolio holdings report. 

Prior to 10/31/2025, the ticker for SPYM was SPLG.",ssga_xbi_holdings
Bristol-Myers Squibb,wikidata_industry
C4 THERAPEUTICS INC,ishares_ibb_holdings
CABALETTA BIO INC,ishares_ibb_holdings
CANDEL THERAPEUTICS INC,ishares_ibb_holdings
CAREDX INC,ishares_ibb_holdings
CAREDX INC,ssga_xbi_holdings
CARGO THERAPEUTICS INC,ishares_ibb_holdings
CARIBOU BIOSCIENCES INC,ishares_ibb_holdings
CARIS LIFE SCIENCES INC,ishares_ibb_holdings
CARTESIAN THERAPEUTICS INC,ishares_ibb_holdings
CASH COLLATERAL USD SGAFT,ishares_ibb_holdings
CASTLE BIOSCIENCES INC,ishares_ibb_holdings
CATALYST PHARMACEUTICALS INC,ssga_xbi_holdings
CELCUITY INC,ssga_xbi_holdings
CELLDEX THERAPEUTICS INC,ssga_xbi_holdings
CELLECTIS ADR REPRESENTING SA,ishares_ibb_holdings
CENTESSA PHARMACEUTICALS AMERICAN,ishares_ibb_holdings
CG ONCOLOGY INC,ishares_ibb_holdings
CG ONCOLOGY INC,ssga_xbi_holdings
CHARLES RIVER LABORATORIES INTERNA,ishares_ibb_holdings
CHINOOK THERAPEUTICS INC,ishares_ibb_holdings
CODEXIS INC,ishares_ibb_holdings
COGENT BIOSCIENCES INC,ishares_ibb_holdings
COGENT BIOSCIENCES INC,ssga_xbi_holdings
COMPASS PATHWAYS ADR PLC,ishares_ibb_holdings
COMPASS THERAPEUTICS INC,ssga_xbi_holdings
CONTINEUM THERAPEUTICS INC CLASS A,ishares_ibb_holdings
CONTRA AKERO THERAPEUT,ssga_xbi_holdings
CONTRA BLUEPRINT MEDIC,ssga_xbi_holdings
CONTRA INHIBRX INC,ssga_xbi_holdings
CONTRA METSERA INC,ssga_xbi_holdings
CONTRA MIRATI THERAPEU,ssga_xbi_holdings
CONTRA VERVE THERAPEUT,ssga_xbi_holdings
CORVUS PHARMACEUTICALS INC,ishares_ibb_holdings
CORVUS PHARMACEUTICALS INC,ssga_xbi_holdings
CRINETICS PHARMACEUTICALS INC,ishares_ibb_holdings
CRISPR THERAPEUTICS AG,ishares_ibb_holdings
CRISPR THERAPEUTICS AG,ssga_xbi_holdings
CULLINAN THERAPEUTICS INC,ishares_ibb_holdings
CULLINAN THERAPEUTICS INC,ssga_xbi_holdings
CYTEK BIOSCIENCES INC,ishares_ibb_holdings
CYTOKINETICS INC,ishares_ibb_holdings
CYTOKINETICS INC,ssga_xbi_holdings
CYTOMX THERAPEUTICS INC,ishares_ibb_holdings
CYTOMX THERAPEUTICS INC,ssga_xbi_holdings
Centogene GmbH,wikidata_industry
Cyrex Laboratories,wikidata_industry
DAY ONE BIOPHARMACEUTICALS I,ssga_xbi_holdings
DAY ONE BIOPHARMACEUTICALS INC,ishares_ibb_holdings
DEFINIUM THERAPEUTICS INC,ishares_ibb_holdings
DENALI THERAPEUTICS INC,ishares_ibb_holdings
DENALI THERAPEUTICS INC,ssga_xbi_holdings
DESIGN THERAPEUTICS INC,ishares_ibb_holdings
DIANTHUS THERAPEUTICS INC,ssga_xbi_holdings
DISC MEDICINE INC,ishares_ibb_holdings
DISC MEDICINE INC,ssga_xbi_holdings
DYNAVAX TECHNOLOGIES CORP,ishares_ibb_holdings
DYNAVAX TECHNOLOGIES CORP,ssga_xbi_holdings
DYNE THERAPEUTICS INC,ishares_ibb_holdings
DYNE THERAPEUTICS INC,ssga_xbi_holdings
"Distributor: State Street Global Advisors Funds Distributors, LLC (SSGA FD), Member FINRA (https://www.finra.org) and an indirect wholly owned subsidiary of State Street Corporation. References to State Street may include State Street Corporation and its affiliates. One Congress Street Boston, MA 02114. ALPS Distributors, Inc. (ALPS) is the distributor for SPY, MDY, and DIA, all unit investment trusts. SSGA FD and ALPS are not affiliated.",ssga_xbi_holdings
"DoubleLine® is a registered trademark of DoubleLine Capital LP.

Investing involves risk including the risk of loss of principal.

All information is from SSGA unless otherwise noted and has been obtained from sources believed to be reliable, but its accuracy is not guaranteed.  There is no representation or warranty as to the current accuracy, reliability or completeness of, nor liability for, decisions based on such information and it should not be relied on as such.",ssga_xbi_holdings
E-MINI HEALTH CARE SECTOR MAR 26,ishares_ibb_holdings
EDGEWISE THERAPEUTICS INC,ishares_ibb_holdings
EDITAS MEDICINE INC,ishares_ibb_holdings
EMERGENT BIOSOLUTIONS INC,ishares_ibb_holdings
EMERGENT BIOSOLUTIONS INC,ssga_xbi_holdings
ENANTA PHARMACEUTICALS INC,ishares_ibb_holdings
ENLIVEN THERAPEUTICS INC,ishares_ibb_holdings
ENTRADA THERAPEUTICS INC,ishares_ibb_holdings
ERASCA INC,ishares_ibb_holdings
ERASCA INC,ssga_xbi_holdings
EXACT SCIENCES CORP,ssga_xbi_holdings
EXELIXIS INC,ishares_ibb_holdings
EXELIXIS INC,ssga_xbi_holdings
FOGHORN THERAPEUTICS INC,ishares_ibb_holdings
FORTREA HOLDINGS INC,ishares_ibb_holdings
FULCRUM THERAPEUTICS INC,ishares_ibb_holdings
FULGENT GENETICS INC,ishares_ibb_holdings
FUSION PHARMACEUTICALS INC CVR,ishares_ibb_holdings
FUZZYWUZZYCARE,wikidata_industry
Formic Labs,wikidata_industry
GALAPAGOS ADR REPRESENTING NV,ishares_ibb_holdings
GENMAB SPONSORED ADR,ishares_ibb_holdings
GERON CORP,ishares_ibb_holdings
GERON CORP,ssga_xbi_holdings
GH RESEARCH PLC,ishares_ibb_holdings
GILEAD SCIENCES INC,ishares_ibb_holdings
GILEAD SCIENCES INC,ssga_xbi_holdings
GINKGO BIOWORKS HOLDINGS INC CLASS,ishares_ibb_holdings
GOSSAMER BIO INC,ishares_ibb_holdings
GOSSAMER BIO INC,ssga_xbi_holdings
GRAIL INC,ishares_ibb_holdings
GRAIL INC,ssga_xbi_holdings
GRIFOLS ADR REPRESENTING ONE NON-V,ishares_ibb_holdings
Genesis Research & Development Corp,wikidata_industry
Gritstone bio,wikidata_industry
HALOZYME THERAPEUTICS INC,ishares_ibb_holdings
HALOZYME THERAPEUTICS INC,ssga_xbi_holdings
HUMACYTE INC,ishares_ibb_holdings
Hoffmann-La Roche,wikidata_industry
IDEAYA BIOSCIENCES INC,ishares_ibb_holdings
IDEAYA BIOSCIENCES INC,ssga_xbi_holdings
ILLUMINA INC,ishares_ibb_holdings
IMMUNEERING CORP   CLASS A,ssga_xbi_holdings
IMMUNEERING CORP CLASS A,ishares_ibb_holdings
IMMUNITYBIO INC,ishares_ibb_holdings
IMMUNITYBIO INC,ssga_xbi_holdings
IMMUNOCORE HOLDINGS ADR PLC,ishares_ibb_holdings
IMMUNOME INC,ssga_xbi_holdings
IMMUNOVANT INC,ishares_ibb_holdings
IMMUNOVANT INC,ssga_xbi_holdings
IMMUTEP ADS REPRESENTING LTD,ishares_ibb_holdings
INCYTE CORP,ishares_ibb_holdings
INCYTE CORP,ssga_xbi_holdings
INHIBRX BIOSCIENCES INC,ishares_ibb_holdings
INHIBRX BIOSCIENCES INC,ssga_xbi_holdings
INSMED INC,ishares_ibb_holdings
INSMED INC,ssga_xbi_holdings
INTELLIA THERAPEUTICS INC,ishares_ibb_holdings
INTELLIA THERAPEUTICS INC,ssga_xbi_holdings
INVIVYD INC,ssga_xbi_holdings
IONIS PHARMACEUTICALS INC,ishares_ibb_holdings
IONIS PHARMACEUTICALS INC,ssga_xbi_holdings
IOVANCE BIOTHERAPEUTICS INC,ishares_ibb_holdings
IOVANCE BIOTHERAPEUTICS INC,ssga_xbi_holdings
IRONWOOD PHARMA INC CLASS A,ishares_ibb_holdings
IRONWOOD PHARMACEUTICALS INC,ssga_xbi_holdings
Instituto de Genetica Barbara McClintock,wikidata_industry
JANUX THERAPEUTICS INC,ishares_ibb_holdings
JANUX THERAPEUTICS INC,ssga_xbi_holdings
JYONG BIOTECH LTD,ishares_ibb_holdings
Jazz Pharmaceuticals,wikidata_industry
Juno Therapeutics,wikidata_industry
KALVISTA PHARMACEUTICALS INC,ishares_ibb_holdings
KALVISTA PHARMACEUTICALS INC,ssga_xbi_holdings
KEROS THERAPEUTICS INC,ishares_ibb_holdings
KEROS THERAPEUTICS INC,ssga_xbi_holdings
KODIAK SCIENCES INC,ishares_ibb_holdings
KODIAK SCIENCES INC,ssga_xbi_holdings
KRYSTAL BIOTECH INC,ishares_ibb_holdings
KRYSTAL BIOTECH INC,ssga_xbi_holdings
KURA ONCOLOGY INC,ishares_ibb_holdings
KURA ONCOLOGY INC,ssga_xbi_holdings
KYMERA THERAPEUTICS INC,ishares_ibb_holdings
KYMERA THERAPEUTICS INC,ssga_xbi_holdings
KYVERNA THERAPEUTICS INC,ishares_ibb_holdings
Kanvas Biosciences,wikidata_industry
Keraplast,wikidata_industry
LARIMAR THERAPEUTICS INC,ishares_ibb_holdings
LEGEND BIOTECH ADR REP CORP,ishares_ibb_holdings
LENZ THERAPEUTICS INC,ishares_ibb_holdings
LEXEO THERAPEUTICS INC,ishares_ibb_holdings
LEXEO THERAPEUTICS INC,ssga_xbi_holdings
LINEAGE CELL THERAPEUTICS INC,ishares_ibb_holdings
LYELL IMMUNOPHARMA INC,ishares_ibb_holdings
Life Technologies,wikidata_industry
Lonza Group,wikidata_industry
Lumen Bioscience,wikidata_industry
MADRIGAL PHARMACEUTICALS INC,ishares_ibb_holdings
MADRIGAL PHARMACEUTICALS INC,ssga_xbi_holdings
MANNKIND CORP,ishares_ibb_holdings
MANNKIND CORP,ssga_xbi_holdings
MARAVAI LIFESCIENCES HOLDINGS INC,ishares_ibb_holdings
MAZE THERAPEUTICS INC,ishares_ibb_holdings
MBX BIOSCIENCES INC,ishares_ibb_holdings
MEDPACE HOLDINGS INC,ishares_ibb_holdings
MEIRAGTX HOLDINGS PLC,ishares_ibb_holdings
MESOBLAST ADR REPRESENTING LTD,ishares_ibb_holdings
MIMEDX GROUP INC,ssga_xbi_holdings
MINERALYS THERAPEUTICS INC,ishares_ibb_holdings
MINERALYS THERAPEUTICS INC,ssga_xbi_holdings
MIRUM PHARMACEUTICALS INC,ishares_ibb_holdings
MIRUM PHARMACEUTICALS INC,ssga_xbi_holdings
MODERNA INC,ishares_ibb_holdings
MODERNA INC,ssga_xbi_holdings
MONTE ROSA THERAPEUTICS INC,ishares_ibb_holdings
MONTE ROSA THERAPEUTICS INC,ssga_xbi_holdings
MYRIAD GENETICS INC,ishares_ibb_holdings
MYRIAD GENETICS INC,ssga_xbi_holdings
Miltenyi Biotec,wikidata_industry
Moderna,wikidata_industry
Mul Biotech Farms,wikidata_industry
NATERA INC,ishares_ibb_holdings
NATERA INC,ssga_xbi_holdings
NEUMORA THERAPEUTICS INC,ishares_ibb_holdings
NEUROCRINE BIOSCIENCES INC,ishares_ibb_holdings
NEUROCRINE BIOSCIENCES INC,ssga_xbi_holdings
NEUROGENE INC,ishares_ibb_holdings
NEWAMSTERDAM PHARMA NV,ishares_ibb_holdings
NOVABRIDGE BIOSCIENCES ADR,ishares_ibb_holdings
NOVAVAX INC,ishares_ibb_holdings
NOVAVAX INC,ssga_xbi_holdings
NOVOCURE LTD,ishares_ibb_holdings
NURIX THERAPEUTICS INC,ishares_ibb_holdings
NURIX THERAPEUTICS INC,ssga_xbi_holdings
NUVALENT INC A,ssga_xbi_holdings
NUVALENT INC CLASS A,ishares_ibb_holdings
NUVATION BIO INC CLASS A,ishares_ibb_holdings
Novo Nordisk,wikidata_industry
OLEMA PHARMACEUTICALS INC,ishares_ibb_holdings
OLEMA PHARMACEUTICALS INC,ssga_xbi_holdings
OMNIAB INC,ishares_ibb_holdings
OMNIAB INC   12.5 EARNOUT,ssga_xbi_holdings
OMNIAB INC   15.00 EARNOUT,ssga_xbi_holdings
OMNIAB INC $12.50 VESTING Prvt,ishares_ibb_holdings
OMNIAB INC $15.00 VESTING Prvt,ishares_ibb_holdings
OPKO HEALTH INC,ishares_ibb_holdings
ORIC PHARMACEUTICALS INC,ishares_ibb_holdings
ORIC PHARMACEUTICALS INC,ssga_xbi_holdings
ORUKA THERAPEUTICS INC,ishares_ibb_holdings
ORUKA THERAPEUTICS INC,ssga_xbi_holdings
Orchid Health,wikidata_industry
Orphazyme,wikidata_industry
P-last,wikidata_industry
PACIFIC BIOSCIENCES OF CALIFORNIA,ishares_ibb_holdings
PALVELLA THERAPEUTICS INC,ssga_xbi_holdings
PEPGEN INC,ishares_ibb_holdings
PERSONALIS INC,ishares_ibb_holdings
PERSPECTIVE THERAPEUTICS INC,ishares_ibb_holdings
PHARVARIS N V NV,ishares_ibb_holdings
PHATHOM PHARMACEUTICALS INC,ishares_ibb_holdings
PRAXIS PRECISION MEDICINES I,ssga_xbi_holdings
PRAXIS PRECISION MEDICINES INC,ishares_ibb_holdings
PRECIGEN INC,ishares_ibb_holdings
PRECIGEN INC,ssga_xbi_holdings
PRIME MEDICINE INC,ishares_ibb_holdings
PRIME MEDICINE INC,ssga_xbi_holdings
PROTAGONIST THERAPEUTICS INC,ishares_ibb_holdings
PROTAGONIST THERAPEUTICS INC,ssga_xbi_holdings
PROTHENA CORP PLC,ssga_xbi_holdings
PROTHENA PLC,ishares_ibb_holdings
PTC THERAPEUTICS INC,ishares_ibb_holdings
PTC THERAPEUTICS INC,ssga_xbi_holdings
PYXIS ONCOLOGY INC,ishares_ibb_holdings
"Past performance is not a reliable indicator of future performance. Investment return and principal value will fluctuate, so you may have a gain or loss when shares are sold. Current performance may be higher or lower than that quoted. All results are historical and assume the reinvestment of dividends and capital gains. Visit www.ssga.com for most recent month-end performance.",ssga_xbi_holdings
Pfizer,wikidata_industry
Phase Genomics,wikidata_industry
"Portfolio holdings, allocations and weightings are as of the date indicated, are subject to change and should not be considered a recommendation to buy individual securities. For most recent information visit www.ssga.com.",ssga_xbi_holdings
ProPhase Labs,wikidata_industry
QUANTERIX CORP,ishares_ibb_holdings
QUANTUM SI INC CLASS A,ishares_ibb_holdings
RAPPORT THERAPEUTICS INC,ishares_ibb_holdings
RAPT THERAPEUTICS INC,ishares_ibb_holdings
RAPT THERAPEUTICS INC,ssga_xbi_holdings
RECURSION PHARMACEUTICALS A,ssga_xbi_holdings
RECURSION PHARMACEUTICALS INC CLAS,ishares_ibb_holdings
REGENERON PHARMACEUTICALS,ssga_xbi_holdings
REGENERON PHARMACEUTICALS INC,ishares_ibb_holdings
REGENXBIO INC,ishares_ibb_holdings
REGENXBIO INC,ssga_xbi_holdings
RELAY THERAPEUTICS INC,ishares_ibb_holdings
RELAY THERAPEUTICS INC,ssga_xbi_holdings
REPLIGEN CORP,ishares_ibb_holdings
REPLIMUNE GROUP INC,ishares_ibb_holdings
REPLIMUNE GROUP INC,ssga_xbi_holdings
REVOLUTION MEDICINES INC,ishares_ibb_holdings
REVOLUTION MEDICINES INC,ssga_xbi_holdings
REZOLUTE INC,ssga_xbi_holdings
RHYTHM PHARMACEUTICALS INC,ishares_ibb_holdings
RHYTHM PHARMACEUTICALS INC,ssga_xbi_holdings
RIGEL PHARMACEUTICALS INC,ishares_ibb_holdings
RIGEL PHARMACEUTICALS INC,ssga_xbi_holdings
ROCKET PHARMACEUTICALS INC,ishares_ibb_holdings
ROIVANT SCIENCES LTD,ishares_ibb_holdings
ROIVANT SCIENCES LTD,ssga_xbi_holdings
RUSSELL 2000 EMINI CME MAR 26,ishares_ibb_holdings
Romix Biosciences,wikidata_industry
SAGIMET BIOSCIENCES INC SERIES A,ishares_ibb_holdings
SANA BIOTECHNOLOGY INC,ishares_ibb_holdings
SANA BIOTECHNOLOGY INC,ssga_xbi_holdings
SAREPTA THERAPEUTICS INC,ishares_ibb_holdings
SAREPTA THERAPEUTICS INC,ssga_xbi_holdings
SAVARA INC,ishares_ibb_holdings
